#node	date	numeric date
A/Victoria/119/2012|EPI_ISL_192782|VIC|2012-07-16	2012-07-17	2012.542094
A/Perth/153/2012|EPI_ISL_192737|WA|2012-07-02	2012-07-03	2012.503765
NODE_0000112	2011-06-14	2011.453272
A/Brisbane/1/2012|EPI_ISL_222263|QLD|2012-01-06	2012-01-06	2012.016427
A/DARWIN/1001/2012|EPI_ISL_128749|NT|2012-07-16	2012-07-17	2012.542094
NODE_0000114	2011-09-12	2011.699546
A/Victoria/195/2012|EPI_ISL_192796|VIC|2012-08-22	2012-08-23	2012.643395
A/TASMANIA/2/2012|EPI_ISL_121687|TAS|2012-03-21	2012-03-22	2012.221766
A/CANBERRA/33/2012|EPI_ISL_128671|ACT|2012-07-07	2012-07-08	2012.517454
A/Victoria/148/2012|EPI_ISL_192788|VIC|2012-07-25	2012-07-26	2012.566735
NODE_0000118	2011-08-15	2011.623409
A/Victoria/122/2012|EPI_ISL_192783|VIC|2012-07-16	2012-07-17	2012.542094
A/BRISBANE/3/2013|EPI_ISL_141599|Queensland|2013-01-07	2013-01-07	2013.019165
A/TASMANIA/60/2012|EPI_ISL_134528|TAS|2012-08-20	2012-08-21	2012.637919
NODE_0000122	2012-04-02	2012.251914
A/TASMANIA/15/2014|EPI_ISL_166140|TAS|2014-06-04	2014-06-04	2014.424367
A/NEWCASTLE/20/2014|EPI_ISL_165907|NSW|2014-02-07	2014-02-07	2014.104038
A/Victoria/214/2012|EPI_ISL_192798|VIC|2012-08-29	2012-08-30	2012.662560
NODE_0000128	2013-01-22	2013.061128
A/SYDNEY/83/2013|EPI_ISL_161897|NSW|2013-11-21	2013-11-21	2013.889802
A/Sydney/26/2014|EPI_ISL_288220|NSW|2014-03-01	2014-03-01	2014.164271
A/Canberra/2/2014|EPI_ISL_219279|ACT|2014-01-23	2014-01-23	2014.062971
NODE_0000123	2012-08-28	2012.657268
A/Newcastle/1/2013|EPI_ISL_219288|NSW|2013-01-14	2013-01-14	2013.038330
NODE_0000124	2014-01-05	2014.014475
A/SOUTHAUSTRALIA/1007/2014|EPI_ISL_168916|NSW|2014-07-09	2014-07-09	2014.520192
A/Victoria/5021/2014|EPI_ISL_192806|VIC|2014-08-29	2014-08-29	2014.659822
A/Sydney/1065/2014|EPI_ISL_192771|NSW|2014-09-01	2014-09-01	2014.668036
NODE_0000132	2012-07-01	2012.498616
A/Victoria/5049/2014|EPI_ISL_192810|VIC|2014-09-11	2014-09-11	2014.695414
NODE_0000134	2012-10-12	2012.781069
A/Victoria/505/2013|EPI_ISL_219322|VIC|2013-06-17	2013-06-17	2013.459959
A/Perth/2/2014|EPI_ISL_219290|WA|2014-01-01	2014-01-01	2014.002738
NODE_0000136	2012-11-30	2012.916132
A/SYDNEY/8/2014|EPI_ISL_161906|NSW|2014-01-11	2014-01-11	2014.030116
NODE_0000137	2013-05-20	2013.384872
A/Sydney/30/2014|EPI_ISL_173207|NSW|2014-03-02	2014-03-02	2014.167009
A/SOUTHAUSTRALIA/79/2013|EPI_ISL_161281|SA|2013-09-23	2013-09-23	2013.728268
NODE_0000139	2014-02-19	2014.136896
A/Victoria/5064/2014|EPI_ISL_192817|VIC|2014-09-22	2014-09-22	2014.725530
A/Victoria/5018/2014|EPI_ISL_192805|VIC|2014-08-29	2014-08-29	2014.659822
NODE_0000140	2012-10-29	2012.828554
NODE_0000692	2012-11-03	2012.840532
A/CANBERRA/113/2013|EPI_ISL_161285|ACT|2013-10-11	2013-10-11	2013.777550
NODE_0000643	2013-01-16	2013.045501
A/VICTORIA/640/2013|EPI_ISL_161302|VIC|2013-10-14	2013-10-14	2013.785763
NODE_0000644	2013-01-19	2013.052305
NODE_0000145	2013-07-22	2013.558089
A/PERTH/522/2014|EPI_ISL_166130|WA|2014-03-11	2014-03-11	2014.191650
A/TASMANIA/3/2014|EPI_ISL_161904|TAS|2014-01-06	2014-01-06	2014.016427
NODE_0000645	2013-01-19	2013.052305
A/Victoria/5057/2014|EPI_ISL_192813|VIC|2014-09-18	2014-09-18	2014.714579
A/SYDNEY/37/2014|EPI_ISL_166132|NSW|2014-02-15	2014-02-15	2014.125941
NODE_0000146	2013-05-18	2013.379403
NODE_0000147	2014-07-29	2014.576373
