name,cdate
A/SouthAustralia/34/2015|EPI_ISL_197883|2015-03-23,2015-03-23
A/SouthAustralia/33/2015|EPI_ISL_197880|2015-03-23,2015-03-23
A/Victoria/922/2015|EPI_ISL_197878|2015-03-27,2015-03-27
A/Sydney/506/2015|EPI_ISL_197874|2015-01-03,2015-01-03
A/SouthAustralia/37/2015|EPI_ISL_197873|2015-03-26,2015-03-26
A/Townsville/6/2015|EPI_ISL_197870|2015-01-22,2015-01-22
A/Brisbane/12/2015|EPI_ISL_197869|2015-01-27,2015-01-27
A/Brisbane/21/2015|EPI_ISL_197865|2015-02-02,2015-02-02
A/Brisbane/20/2015|EPI_ISL_197864|2015-02-02,2015-02-02
A/Brisbane/15/2015|EPI_ISL_197862|2015-01-26,2015-01-26
A/Sydney/500/2015|EPI_ISL_197861|2015-01-09,2015-01-09
A/Sydney/8/2015|EPI_ISL_197859|2015-02-21,2015-02-21
A/Tasmania/2/2015|EPI_ISL_197855|2015-02-23,2015-02-23
A/SouthAustralia/13/2015|EPI_ISL_197854|2015-02-19,2015-02-19
A/Sydney/6/2015|EPI_ISL_197853|2015-01-05,2015-01-05
A/Tasmania/1/2015|EPI_ISL_197852|2015-02-13,2015-02-13
A/Tasmania/1005/2015|EPI_ISL_197392|2015-06-30,2015-06-30
A/Perth/1055/2014|EPI_ISL_197391|2014-11-06,2014-11-06
A/SOUTHAUSTRALIA/9/2015|EPI_ISL_195754|2015-02-12,2015-02-12
A/BRISBANE/47/2015|EPI_ISL_195753|2015-03-18,2015-03-18
A/VICTORIA/673/2014|EPI_ISL_195752|2014-09-07,2014-09-07
A/Sydney/505/2015|EPI_ISL_194926|2015-01-02,2015-01-02
A/Victoria/814/2015|EPI_ISL_194553|2015-07-15,2015-07-15
A/Townsville/1002/2015|EPI_ISL_194545|2015-04-10,2015-04-10
A/Tasmania/7/2015|EPI_ISL_194544|2015-04-20,2015-04-20
A/Tasmania/25/2015|EPI_ISL_194542|2015-06-26,2015-06-26
A/Sydney/530/2014|EPI_ISL_194539|2014-12-04,2014-12-04
A/Sydney/529/2014|EPI_ISL_194538|2014-11-20,2014-11-20
A/Sydney/42/2015|EPI_ISL_194534|2015-06-03,2015-06-03
A/Sydney/20/2015|EPI_ISL_194533|2015-03-24,2015-03-24
A/SouthAustralia/66/2015|EPI_ISL_194529|2015-05-19,2015-05-19
A/SouthAustralia/57/2015|EPI_ISL_194528|2015-04-20,2015-04-20
A/SouthAustralia/49/2015|EPI_ISL_194527|2015-04-06,2015-04-06
A/Perth/39/2015|EPI_ISL_194518|2015-05-12,2015-05-12
A/Perth/37/2015|EPI_ISL_194517|2015-04-30,2015-04-30
A/Perth/15/2015|EPI_ISL_194516|2015-02-20,2015-02-20
A/Newcastle/9/2015|EPI_ISL_194514|2015-05-02,2015-05-02
A/Newcastle/11/2015|EPI_ISL_194512|2015-05-24,2015-05-24
A/Canberra/20/2015|EPI_ISL_194500|2015-06-06,2015-06-06
A/Canberra/12/2015|EPI_ISL_194498|2015-02-12,2015-02-12
A/Brisbane/86/2015|EPI_ISL_194495|2015-04-21,2015-04-21
A/Brisbane/79/2015|EPI_ISL_194493|2015-04-05,2015-04-05
A/Brisbane/71/2015|EPI_ISL_194492|2015-03-31,2015-03-31
A/Brisbane/47/2015|EPI_ISL_194491|2015-03-18,2015-03-18
A/SouthAustralia/09/2015|EPI_ISL_194167|2015-02-12,2015-02-12
A/Victoria/503/2015|EPI_ISL_194165|2015-03-31,2015-03-31
A/Victoria/503/2015|EPI_ISL_193218|2015-03-31,2015-03-31
A/Brisbane/47/2015|EPI_ISL_193145|2015-03-18,2015-03-18
A/Victoria/92/2014|EPI_ISL_192826|2014-08-04,2014-08-04
A/Victoria/901/2015|EPI_ISL_192825|2015-02-07,2015-02-07
A/Victoria/70/2012|EPI_ISL_192823|2012-06-30,2012-06-30
A/Victoria/69/2014|EPI_ISL_192822|2014-07-16,2014-07-16
A/Victoria/64/2012|EPI_ISL_192821|2012-06-27,2012-06-27
A/Victoria/57/2012|EPI_ISL_192820|2012-06-26,2012-06-26
A/Victoria/5071/2014|EPI_ISL_192819|2014-10-03,2014-10-03
A/Victoria/5065/2014|EPI_ISL_192818|2014-09-24,2014-09-24
A/Victoria/5064/2014|EPI_ISL_192817|2014-09-22,2014-09-22
A/Victoria/5063/2014|EPI_ISL_192816|2014-09-22,2014-09-22
A/Victoria/5062/2014|EPI_ISL_192815|2014-09-23,2014-09-23
A/Victoria/5059/2014|EPI_ISL_192814|2014-09-18,2014-09-18
A/Victoria/5057/2014|EPI_ISL_192813|2014-09-18,2014-09-18
A/Victoria/5054/2014|EPI_ISL_192812|2014-09-16,2014-09-16
A/Victoria/5049/2014|EPI_ISL_192810|2014-09-11,2014-09-11
A/Victoria/503/2015|EPI_ISL_192808|2015-03-31,2015-03-31
A/Victoria/5025/2014|EPI_ISL_192807|2014-09-01,2014-09-01
A/Victoria/5021/2014|EPI_ISL_192806|2014-08-29,2014-08-29
A/Victoria/5018/2014|EPI_ISL_192805|2014-08-29,2014-08-29
A/Victoria/5003/2014|EPI_ISL_192804|2014-08-25,2014-08-25
A/Victoria/50/2012|EPI_ISL_192802|2012-06-25,2012-06-25
A/Victoria/3/2012|EPI_ISL_192801|2012-05-07,2012-05-07
A/Victoria/24/2014|EPI_ISL_192799|2014-06-24,2014-06-24
A/Victoria/214/2012|EPI_ISL_192798|2012-08-29,2012-08-29
A/Victoria/213/2012|EPI_ISL_192797|2012-08-28,2012-08-28
A/Victoria/195/2012|EPI_ISL_192796|2012-08-22,2012-08-22
A/Victoria/189/2012|EPI_ISL_192795|2012-08-15,2012-08-15
A/Victoria/187/2012|EPI_ISL_192794|2012-08-16,2012-08-16
A/Victoria/181/2012|EPI_ISL_192793|2012-08-13,2012-08-13
A/Victoria/180/2012|EPI_ISL_192792|2012-08-13,2012-08-13
A/Victoria/173/2012|EPI_ISL_192791|2012-08-06,2012-08-06
A/Victoria/163/2012|EPI_ISL_192790|2012-08-01,2012-08-01
A/Victoria/150/2012|EPI_ISL_192789|2012-07-27,2012-07-27
A/Victoria/148/2012|EPI_ISL_192788|2012-07-25,2012-07-25
A/Victoria/147/2012|EPI_ISL_192787|2012-07-24,2012-07-24
A/Victoria/144/2012|EPI_ISL_192786|2012-07-25,2012-07-25
A/Victoria/142/2012|EPI_ISL_192785|2012-07-23,2012-07-23
A/Victoria/140/2012|EPI_ISL_192784|2012-07-25,2012-07-25
A/Victoria/122/2012|EPI_ISL_192783|2012-07-16,2012-07-16
A/Victoria/119/2012|EPI_ISL_192782|2012-07-16,2012-07-16
A/Victoria/115/2014|EPI_ISL_192781|2014-08-12,2014-08-12
A/Victoria/113/2012|EPI_ISL_192780|2012-07-10,2012-07-10
A/Victoria/1003/2012|EPI_ISL_192779|2012-08-13,2012-08-13
A/Townsville/1004/2012|EPI_ISL_192778|2012-08-13,2012-08-13
A/Sydney/5/2015|EPI_ISL_192775|2015-01-25,2015-01-25
A/Sydney/4/2015|EPI_ISL_192774|2015-01-05,2015-01-05
A/Sydney/1065/2014|EPI_ISL_192771|2014-09-01,2014-09-01
A/Sydney/10/2015|EPI_ISL_192769|2015-02-20,2015-02-20
A/Sydney/1/2015|EPI_ISL_192768|2015-01-11,2015-01-11
A/SouthAustralia/9/2015|EPI_ISL_192760|2015-02-12,2015-02-12
A/SouthAustralia/36/2012|EPI_ISL_192759|2012-05-28,2012-05-28
A/SouthAustralia/212/2011|EPI_ISL_192757|2011-09-13,2011-09-13
A/SouthAustralia/205/2011|EPI_ISL_192755|2011-09-05,2011-09-05
A/SouthAustralia/114/2012|EPI_ISL_192752|2012-07-06,2012-07-06
A/SouthAustralia/111/2012|EPI_ISL_192751|2012-07-06,2012-07-06
A/SouthAustralia/109/2012|EPI_ISL_192750|2012-07-05,2012-07-05
A/SouthAustralia/1/2015|EPI_ISL_192749|2015-02-07,2015-02-07
A/Perth/551/2014|EPI_ISL_192748|2014-05-08,2014-05-08
A/Perth/327/2011|EPI_ISL_192747|2011-11-14,2011-11-14
A/Perth/315/2011|EPI_ISL_192746|2011-12-01,2011-12-01
A/Perth/254/2012|EPI_ISL_192745|2012-07-10,2012-07-10
A/Perth/249/2011|EPI_ISL_192744|2011-09-27,2011-09-27
A/Perth/247/2013|EPI_ISL_192743|2013-10-07,2013-10-07
A/Perth/232/2011|EPI_ISL_192742|2011-09-23,2011-09-23
A/Perth/196/2011|EPI_ISL_192741|2011-09-12,2011-09-12
A/Perth/19/2015|EPI_ISL_192740|2015-03-06,2015-03-06
A/Perth/185/2011|EPI_ISL_192739|2011-09-07,2011-09-07
A/Perth/164/2011|EPI_ISL_192738|2011-08-29,2011-08-29
A/Perth/153/2012|EPI_ISL_192737|2012-07-02,2012-07-02
A/Perth/110/2013|EPI_ISL_192736|2013-08-08,2013-08-08
A/SouthAustralia/55/2014|EPI_ISL_189817|2014-06-29,2014-06-29
A/Victoria/5006/2014|EPI_ISL_176668|2014-08-25,2014-08-25
A/Perth/16/2009|EPI_ISL_176456|2009-04-07,2009-04-07
A/Canberra/82/2014|EPI_ISL_174194|2014-07-31,2014-07-31
A/Victoria/5006/2014|EPI_ISL_175062|2014,2014
A/Victoria/265/2014|EPI_ISL_175061|2014,2014
A/CANBERRA/82/2014|EPI_ISL_173954|2014-07-31,2014-07-31
A/CANBERRA/82/2014|EPI_ISL_173953|2014-07-31,2014-07-31
A/Sydney/30/2014|EPI_ISL_173207|2014-03-02,2014-03-02
A/Victoria/710/2013|EPI_ISL_172981|2013-02-03,2013-02-03
A/SouthAustralia/177/2012|EPI_ISL_172975|2012-11-28,2012-11-28
A/Brisbane/21/2012|EPI_ISL_172969|2012-03-04,2012-03-04
A/Brisbane/14/2012|EPI_ISL_172968|2012-02-06,2012-02-06
A/Townsville/4/2012|EPI_ISL_172967|2012-03-22,2012-03-22
A/SouthAustralia/12/2012|EPI_ISL_172966|2012-04-16,2012-04-16
A/Victoria/721/2011|EPI_ISL_172965|2011-11-06,2011-11-06
A/Brisbane/501/2011|EPI_ISL_172964|2011-03-19,2011-03-19
A/Sydney/602/2009|EPI_ISL_172958|2009-02-07,2009-02-07
A/Brisbane/198/2013|EPI_ISL_172860|2013-11-06,2013-11-06
A/Brisbane/204/2013|EPI_ISL_172859|2013-11-14,2013-11-14
A/Victoria/5060/2014|EPI_ISL_172428|2014-09-19,2014-09-19
A/Victoria/673/2014|EPI_ISL_171825|2014-09-07,2014-09-07
A/Victoria/944/2014|EPI_ISL_171818|2014-11-03,2014-11-03
A/Sydney/327/2014|EPI_ISL_171817|2014-12-03,2014-12-03
A/Sydney/306/2014|EPI_ISL_171816|2014-08-11,2014-08-11
A/Brisbane/359/2014|EPI_ISL_171808|2014-11-03,2014-11-03
A/Brisbane/341/2014|EPI_ISL_171807|2014-10-03,2014-10-03
